unit,speed,bonus,game_ticks,attacks,expected_attacks
STRAY,16,2,9616,701,701
STRAY,16,8,9616,742,742
BOGGED,1,0,601,76,76
BOGGED,1,2,601,77,77
BOGGED,1,8,601,82,82
BOGGED,2,0,1202,151,151
BOGGED,2,2,1202,154,154
BOGGED,2,8,1202,163,163
BOGGED,4,0,2404,301,301
BOGGED,4,2,2404,307,307
BOGGED,4,8,2404,325,325
BOGGED,8,0,4808,601,601
BOGGED,8,2,4808,614,613
BOGGED,8,8,4808,650,649
BOGGED,16,0,9616,1202,1202
BOGGED,16,2,9616,1227,1226
BOGGED,16,8,9616,1299,1299
PIGLIN,1,0,601,34,34
PIGLIN,1,2,601,35,35
PIGLIN,1,8,601,37,37
PIGLIN,2,0,1202,67,67
PIGLIN,2,2,1202,69,69
PIGLIN,2,8,1202,73,73
PIGLIN,4,0,2404,134,134
PIGLIN,4,2,2404,137,137
PIGLIN,4,8,2404,145,145
PIGLIN,8,0,4808,268,268
PIGLIN,8,2,4808,273,273
PIGLIN,8,8,4808,289,289
PIGLIN,16,0,9616,535,535
PIGLIN,16,2,9616,545,545
PIGLIN,16,8,9616,577,577
WITCH,1,0,601,43,43
WITCH,1,2,601,44,44
WITCH,1,8,601,47,47
WITCH,2,0,1202,86,86
WITCH,2,2,1202,88,88
WITCH,2,8,1202,93,93
WITCH,4,0,2404,172,172
WITCH,4,2,2404,176,176
WITCH,4,8,2404,186,186
WITCH,8,0,4808,344,344
WITCH,8,2,4808,351,351
WITCH,8,8,4808,371,371
WITCH,16,0,9616,687,687
WITCH,16,2,9616,701,701
WITCH,16,8,9616,742,742
LLAMA,1,0,601,67,67
LLAMA,1,2,601,69,69
LLAMA,1,8,601,73,73
LLAMA,2,0,1202,134,134
LLAMA,2,2,1202,137,137
LLAMA,2,8,1202,145,145
LLAMA,4,0,2404,268,268
LLAMA,4,2,2404,273,273
LLAMA,4,8,2404,289,289
LLAMA,8,0,4808,535,535
LLAMA,8,2,4808,545,545
LLAMA,8,8,4808,577,577
LLAMA,16,0,9616,1069,1069
LLAMA,16,2,9616,1090,1090
LLAMA,16,8,9616,1154,1154
SNOW_GOLEM,1,0,601,86,86
SNOW_GOLEM,1,2,601,88,88
SNOW_GOLEM,1,8,601,93,93
SNOW_GOLEM,2,0,1202,172,172
SNOW_GOLEM,2,2,1202,176,176
SNOW_GOLEM,2,8,1202,186,186
SNOW_GOLEM,4,0,2404,344,344
SNOW_GOLEM,4,2,2404,351,351
SNOW_GOLEM,4,8,2404,371,371
SNOW_GOLEM,8,0,4808,687,687
SNOW_GOLEM,8,2,4808,701,701
SNOW_GOLEM,8,8,4808,742,742
SNOW_GOLEM,16,0,9616,1374,1374
SNOW_GOLEM,16,2,9616,1402,1402
SNOW_GOLEM,16,8,9616,1484,1484
GUARDIAN,1,0,601,34,34
GUARDIAN,1,2,601,35,35
GUARDIAN,1,8,601,37,37
GUARDIAN,2,0,1202,67,67
GUARDIAN,2,2,1202,69,69
GUARDIAN,2,8,1202,73,73
GUARDIAN,4,0,2404,134,134
GUARDIAN,4,2,2404,137,137
GUARDIAN,4,8,2404,145,145
GUARDIAN,8,0,4808,268,268
GUARDIAN,8,2,4808,273,273
GUARDIAN,8,8,4808,289,289
GUARDIAN,16,0,9616,535,535
GUARDIAN,16,2,9616,545,545
GUARDIAN,16,8,9616,577,577
BLAZE,1,0,601,38,38
BLAZE,1,2,601,39,39
BLAZE,1,8,601,41,41
BLAZE,2,0,1202,76,76
BLAZE,2,2,1202,77,77
BLAZE,2,8,1202,82,82
BLAZE,4,0,2404,151,151
BLAZE,4,2,2404,154,154
BLAZE,4,8,2404,163,163
BLAZE,8,0,4808,301,301
BLAZE,8,2,4808,307,307
BLAZE,8,8,4808,325,325
BLAZE,16,0,9616,601,601
BLAZE,16,2,9616,614,613
BLAZE,16,8,9616,650,650
GHAST,1,0,601,23,23
GHAST,1,2,601,23,23
GHAST,1,8,601,25,25
GHAST,2,0,1202,45,45
GHAST,2,2,1202,46,46
GHAST,2,8,1202,49,49
GHAST,4,0,2404,90,90
GHAST,4,2,2404,91,91
GHAST,4,8,2404,97,97
GHAST,8,0,4808,179,179
GHAST,8,2,4808,182,182
GHAST,8,8,4808,193,193
GHAST,16,0,9616,357,357
GHAST,16,2,9616,364,364
GHAST,16,8,9616,385,385
WITHER_SKELETON,1,0,601,47,47
WITHER_SKELETON,1,2,601,48,48
WITHER_SKELETON,1,8,601,50,50
WITHER_SKELETON,2,0,1202,93,93
WITHER_SKELETON,2,2,1202,95,95
WITHER_SKELETON,2,8,1202,100,100
WITHER_SKELETON,4,0,2404,185,185
WITHER_SKELETON,4,2,2404,189,189
WITHER_SKELETON,4,8,2404,200,200
WITHER_SKELETON,8,0,4808,370,370
WITHER_SKELETON,8,2,4808,378,378
WITHER_SKELETON,8,8,4808,400,400
WITHER_SKELETON,16,0,9616,740,740
WITHER_SKELETON,16,2,9616,755,755
WITHER_SKELETON,16,8,9616,799,799
WARDEN,1,0,601,19,19
WARDEN,1,2,601,20,20
WARDEN,1,8,601,21,21
WARDEN,2,0,1202,38,38
WARDEN,2,2,1202,39,39
WARDEN,2,8,1202,41,41
WARDEN,4,0,2404,76,76
WARDEN,4,2,2404,77,77
WARDEN,4,8,2404,82,82
WARDEN,8,0,4808,151,151
WARDEN,8,2,4808,154,154
WARDEN,8,8,4808,163,163
WARDEN,16,0,9616,301,301
WARDEN,16,2,9616,307,307
WARDEN,16,8,9616,325,325
EVOKER,1,0,601,43,43
EVOKER,1,2,601,44,44
EVOKER,1,8,601,47,47
EVOKER,2,0,1202,86,86
EVOKER,2,2,1202,88,88
EVOKER,2,8,1202,93,93
EVOKER,4,0,2404,172,172
EVOKER,4,2,2404,176,176
EVOKER,4,8,2404,186,186
EVOKER,8,0,4808,344,344
EVOKER,8,2,4808,351,351
EVOKER,8,8,4808,371,371
EVOKER,16,0,9616,687,687
EVOKER,16,2,9616,701,701
EVOKER,16,8,9616,742,742
SHULKER,1,0,601,34,34
SHULKER,1,2,601,35,35
SHULKER,1,8,601,37,37
SHULKER,2,0,1202,67,67
SHULKER,2,2,1202,69,69
SHULKER,2,8,1202,73,73
SHULKER,4,0,2404,134,134
SHULKER,4,2,2404,137,137
SHULKER,4,8,2404,145,145
SHULKER,8,0,4808,268,268
SHULKER,8,2,4808,273,273
SHULKER,8,8,4808,289,289
SHULKER,16,0,9616,535,535
SHULKER,16,2,9616,545,545
SHULKER,16,8,9616,577,577
ALLAY,1,0,601,86,86
ALLAY,1,2,601,88,88
ALLAY,1,8,601,93,93
ALLAY,2,0,1202,172,172
ALLAY,2,2,1202,176,176
ALLAY,2,8,1202,186,186
ALLAY,4,0,2404,344,344
ALLAY,4,2,2404,351,351
ALLAY,4,8,2404,371,371
ALLAY,8,0,4808,687,687
ALLAY,8,2,4808,701,701
ALLAY,8,8,4808,742,742
ALLAY,16,0,9616,1374,1374
ALLAY,16,2,9616,1402,1402
ALLAY,16,8,9616,1484,1484
VEX,1,0,601,55,55
VEX,1,2,601,56,56
VEX,1,8,601,60,59
VEX,2,0,1202,110,110
VEX,2,2,1202,112,112
VEX,2,8,1202,119,118
VEX,4,0,2404,219,219
VEX,4,2,2404,223,223
VEX,4,8,2404,237,236
VEX,8,0,4808,438,438
VEX,8,2,4808,446,446
VEX,8,8,4808,473,472
VEX,16,0,9616,875,875
VEX,16,2,9616,892,892
VEX,16,8,9616,945,945
