seed,draw_index,raw_type
36008565,19799,SNOW_GOLEM
36008660,18802,POLAR_BEAR
36008675,18923,BOGGED
36008712,21715,IRON_GOLEM
36008729,20070,WARDEN
36008779,21617,GUARDIAN
36008790,18717,WITCH
36008837,18553,GUARDIAN
36008879,19201,EVOKER
36008901,19199,IRON_GOLEM
36008910,20589,ALLAY
36008914,19654,GHAST
36008933,20437,SKELETON
36008944,21897,BOGGED
36008966,19432,RAVAGER
36009116,19055,BOGGED
36009155,19727,IRON_GOLEM
36009158,20294,RABBIT
36009159,20048,IRON_GOLEM
36009280,19208,WOLF
36009294,21795,PIGLIN
36009311,18924,STRAY
36009347,21100,WITHER_SKELETON
36009411,19441,GHAST
36009421,19474,WARDEN
36009454,19240,GHAST
36009559,19231,SKELETON
36009575,19947,BLAZE
36009596,19247,RAVAGER
36009661,20532,PIGLIN
36009665,21596,HOGLIN
36009721,21726,VEX
36009746,21841,IRON_GOLEM
36009814,21416,SHULKER
36009832,20841,RAVAGER
36010003,19682,BLAZE
36010025,19756,PANDA
36010046,22000,VEX
36010062,21768,WITCH
36010063,19207,BLAZE
36010262,21482,VEX
36010268,19728,RAVAGER
36010275,18885,WITCH
36010286,19815,ALLAY
36010329,20597,GOAT
36010347,21865,SHULKER
36010389,20821,WOLF
36010478,21596,ALLAY
36010490,20762,ALLAY
36010601,20846,SHULKER
36010641,21412,GHAST
36010723,21710,GOAT
36010737,19437,EVOKER
36010742,19400,SHULKER
36010771,19872,SHULKER
36010775,20067,SHULKER
36010797,18700,WOLF
36010823,19606,SHULKER
36010866,19594,GUARDIAN
36010890,19800,WITCH
36010894,19050,PIGLIN
36010990,19608,HOGLIN
36011008,18781,STRAY
36011127,19715,WOLF
36011225,18773,PIGLIN
36011316,21000,GHAST
36011407,19833,WARDEN
36011413,20954,WOLF
36011431,19545,PIGLIN
36011458,18659,SKELETON
36011461,21173,WARDEN
36011462,19959,LLAMA
36011494,19977,IRON_GOLEM
36011501,21508,GOAT
36011514,20443,GUARDIAN
36011518,18836,RABBIT
36011556,21994,PIGLIN
36011580,19215,WOLF
36011597,21858,GOAT
36011624,20261,VEX
36011675,20763,RABBIT
36011709,21283,ALLAY
36011713,21906,IRON_GOLEM
36011734,20157,WOLF
36011754,20429,EVOKER
36011776,21199,EVOKER
36011777,18519,BOGGED
36011783,20661,GUARDIAN
36011793,19153,RABBIT
36011844,19093,WARDEN
36011891,20443,PIGLIN
36011900,19581,GHAST
36011913,19026,POLAR_BEAR
36011938,19209,ALLAY
36011978,19608,STRAY
36011979,21496,WOLF
36011989,20258,WOLF
36012035,21508,RAVAGER
36012074,20333,WITCH
36012082,19946,WARDEN
36012089,20985,EVOKER
36012136,18904,LLAMA
36012174,19804,GOAT
36012223,20720,GHAST
36012252,19599,WOLF
36012364,21131,RABBIT
36012428,18613,RABBIT
36012486,18517,WARDEN
36012503,19964,BLAZE
36012556,21361,WITCH
36012565,20162,WITHER_SKELETON
36012568,19867,POLAR_BEAR
36012574,18658,SKELETON
36012583,19430,BLAZE
36012638,21711,STRAY
36012642,20571,VEX
36012647,19882,VEX
36012671,21733,WITHER_SKELETON
36012685,21050,WOLF
36012717,21966,ALLAY
36012742,21847,EVOKER
36012747,21820,SHULKER
36012764,20854,ALLAY
36012816,18774,LLAMA
36012817,19757,POLAR_BEAR
36012854,19412,WITHER_SKELETON
36012858,20238,SKELETON
36012865,19772,RAVAGER
36012889,21852,SNOW_GOLEM
36012902,19005,GUARDIAN
36012916,18960,PANDA
36012918,18891,RAVAGER
36012965,21030,EVOKER
36013015,19137,GOAT
36013045,19300,RABBIT
36013049,18643,WOLF
36013061,21346,RABBIT
36013117,21636,ALLAY
36013257,20310,VEX
36013325,21186,SNOW_GOLEM
36013341,20659,WITCH
36013366,20936,RAVAGER
36013389,19553,GOAT
36013434,20847,SNOW_GOLEM
36013475,20850,WITCH
36013518,20371,HOGLIN
36013520,20000,VEX
36013553,20930,GUARDIAN
36013585,19716,POLAR_BEAR
36013594,20753,EVOKER
36013626,20557,GHAST
36013640,20043,RAVAGER
36013667,18929,SNOW_GOLEM
36013680,19141,PIGLIN
36013687,19970,RAVAGER
36013709,21840,POLAR_BEAR
36013711,18923,WARDEN
36013787,21711,IRON_GOLEM
36013791,20547,STRAY
36013809,20430,HOGLIN
36013851,20904,GHAST
36013855,19869,IRON_GOLEM
36013866,18860,SHULKER
36013884,21711,HOGLIN
36013893,21678,EVOKER
36013904,19397,GOAT
36013915,18502,RAVAGER
36013932,20771,POLAR_BEAR
36013972,18920,HOGLIN
36013986,21573,LLAMA
36013991,21281,RABBIT
36014071,20578,RAVAGER
36014114,21439,ALLAY
36014135,20427,LLAMA
36014209,19340,RAVAGER
36014210,19257,ALLAY
36014263,19258,SNOW_GOLEM
36014272,21645,EVOKER
36014273,21171,IRON_GOLEM
36014275,19315,PIGLIN
36014281,20012,RABBIT
36014285,21941,ALLAY
36014293,20674,POLAR_BEAR
36014318,20790,STRAY
36014322,19555,ALLAY
36014348,19733,GHAST
36014366,20833,GHAST
36014373,19014,SKELETON
36014395,21610,IRON_GOLEM
36014434,20466,PANDA
36014454,18960,RAVAGER
36014456,20690,SHULKER
36014465,19017,WITHER_SKELETON
36014504,21370,BOGGED
36014517,21492,PANDA
36014527,21295,GUARDIAN
36014545,20979,GHAST
36014556,18965,WARDEN
36014602,20585,GOAT
36014616,18775,VEX
36014649,19108,VEX
36014654,20415,WITHER_SKELETON
36014657,21340,LLAMA
36014686,19964,WITHER_SKELETON
36014687,19429,POLAR_BEAR
36014692,21524,POLAR_BEAR
36014722,21111,EVOKER
36014754,19417,EVOKER
36014854,20054,EVOKER
36014875,19871,EVOKER
36014958,20215,PANDA
36014973,19714,GUARDIAN
36015004,20172,RABBIT
36015010,19294,RABBIT
36015072,21500,BLAZE
36015075,19851,POLAR_BEAR
36015098,21528,STRAY
36015203,18656,RABBIT
36015221,18856,ALLAY
36015253,19751,SNOW_GOLEM
36015262,19610,EVOKER
36015263,21886,PANDA
36015314,19759,RABBIT
36015334,21074,ALLAY
36015366,20806,VEX
36015385,21217,LLAMA
36015400,21678,RABBIT
36015418,20520,WARDEN
36015423,21174,BOGGED
36015426,21611,LLAMA
36015569,18899,RABBIT
36015606,19809,SKELETON
36015613,21978,RAVAGER
36015716,21402,SHULKER
36015780,20585,GUARDIAN
36015792,19639,WITHER_SKELETON
36015840,20816,STRAY
36015929,18738,RABBIT
36015947,18575,IRON_GOLEM
36015998,21123,BLAZE
36016002,20379,WITCH
36016005,21655,STRAY
36016007,19828,GHAST
36016060,21543,WITCH
36016073,20007,GHAST
36016079,21625,ALLAY
36016109,21972,WOLF
36016116,20444,SNOW_GOLEM
36016209,20777,GOAT
36016225,19822,POLAR_BEAR
36016230,21056,PANDA
36016247,20418,POLAR_BEAR
36016268,20545,SNOW_GOLEM
36016274,20431,BOGGED
36016278,19191,GHAST
36016294,18892,PANDA
36016336,21793,ALLAY
36016339,20836,PANDA
36016362,19557,WITHER_SKELETON
36016422,19640,HOGLIN
36016426,20118,GUARDIAN
36016430,18689,STRAY
36016507,21598,RABBIT
36016536,18736,SNOW_GOLEM
36016562,18681,RAVAGER
36016580,20775,STRAY
36016592,19037,HOGLIN
36016599,21403,WITHER_SKELETON
36016670,21269,VEX
36016699,19842,SHULKER
36016747,18638,WITHER_SKELETON
36016781,21392,POLAR_BEAR
36016795,21361,POLAR_BEAR
36016817,20200,WARDEN
36016867,19401,ALLAY
36016879,19287,RAVAGER
36016886,19205,SKELETON
36016913,20849,PANDA
36016925,18590,BLAZE
36016933,19580,WARDEN
36016942,20256,RAVAGER
36016958,19433,POLAR_BEAR
36016976,21984,WITCH
36017125,18683,SNOW_GOLEM
36017141,21857,BLAZE
36017145,19050,PIGLIN
36017147,21791,RAVAGER
36017166,21481,PIGLIN
36017171,21921,POLAR_BEAR
36017175,21479,WARDEN
36017179,21622,SNOW_GOLEM
36017205,20713,VEX
36017221,20201,BOGGED
36017223,18556,WITHER_SKELETON
36017251,20688,POLAR_BEAR
36017281,18992,PIGLIN
36017311,20650,SHULKER
36017338,20128,LLAMA
36017359,18882,PANDA
36017364,20918,HOGLIN
36017378,19848,GOAT
36017380,19956,SNOW_GOLEM
36017472,19614,ALLAY
36017474,21167,SKELETON
36017503,21026,GOAT
36017531,21607,POLAR_BEAR
36017559,21523,GUARDIAN
36017571,19711,HOGLIN
36017572,19726,POLAR_BEAR
36017574,20655,WITCH
36017612,21206,WARDEN
36017621,19052,WITHER_SKELETON
36017622,18988,ALLAY
36017638,21884,IRON_GOLEM
36017649,19074,WARDEN
36017654,21785,WOLF
36017675,18932,GUARDIAN
36017692,20613,WARDEN
36017704,20773,VEX
36017739,20921,SKELETON
36017761,18883,GOAT
36017815,21192,HOGLIN
36017838,18733,IRON_GOLEM
36017840,21007,BOGGED
36017872,18877,GHAST
36017915,21134,ALLAY
36017971,21021,VEX
36018015,19425,GHAST
36018048,19702,WOLF
36018070,21725,SNOW_GOLEM
36018106,18827,RABBIT
36018183,19649,WITCH
36018248,20225,POLAR_BEAR
36018259,21506,HOGLIN
36018338,19689,WARDEN
36018378,19761,STRAY
36018414,20787,ALLAY
36018421,19782,STRAY
36018426,19317,RAVAGER
36018431,18967,SNOW_GOLEM
36018449,18914,SNOW_GOLEM
36018504,18614,EVOKER
36018507,18645,HOGLIN
36018551,18965,HOGLIN
36018555,20568,GUARDIAN
36018567,18962,STRAY
36018595,21933,WITCH
36018642,20221,ALLAY
36018664,18783,LLAMA
36018674,20668,HOGLIN
36018702,20113,PIGLIN
36018743,20713,LLAMA
36018780,19877,GHAST
36018826,19202,VEX
36018879,21364,GOAT
36018889,18930,GUARDIAN
36018910,19110,WARDEN
36018919,20111,ALLAY
36018921,18913,ALLAY
36018926,19865,WITHER_SKELETON
36018928,21714,WOLF
36019052,21080,WARDEN
36019062,20469,GOAT
36019070,20511,WOLF
36019090,20597,GUARDIAN
36019094,19068,LLAMA
36019122,18537,SNOW_GOLEM
36019151,18836,SHULKER
36019161,21760,LLAMA
36019247,21991,POLAR_BEAR
36019267,20646,SKELETON
36019399,20958,PANDA
36019400,20986,GOAT
36019444,18700,GUARDIAN
36019509,21172,SNOW_GOLEM
36019527,20517,HOGLIN
36019544,19004,EVOKER
36019578,20211,IRON_GOLEM
36019658,20201,IRON_GOLEM
36019672,20500,STRAY
36019842,21804,SKELETON
36019861,20773,PIGLIN
36019894,18645,SKELETON
36019901,21903,LLAMA
36019990,19887,GHAST
36019993,21090,RAVAGER
