round	biome	stage	theme	roster	boss	wardens
60	deep_dark	ANCIENT_CITY	고대 도시 관문	ZOMBIE,SKELETON,SPIDER	WARDEN	0
61	deep_dark	ANCIENT_CITY	도시 회랑	CAVE_SPIDER,CAVE_SPIDER,SKELETON	-	0
62	deep_dark	ANCIENT_CITY	스컬크 저장고	CREEPER,ZOMBIE	-	1
63	deep_dark	ANCIENT_CITY	무너진 도시 구역	SPIDER,CAVE_SPIDER,SKELETON	-	0
64	deep_dark	ANCIENT_CITY	도시 중심부	ZOMBIE,SKELETON	-	2
65	deep_dark	ANCIENT_CITY	고대 도시 탈출	ZOMBIE,SPIDER,CREEPER	-	1
66	nether_wastes	NETHER	네더 포탈 도착	ZOMBIFIED_PIGLIN,MAGMA_CUBE	-	0
67	soul_sand_valley	NETHER	영혼 모래 골짜기	SKELETON,SKELETON,GHAST	-	0
68	crimson_forest	NETHER	진홍빛 숲	PIGLIN,HOGLIN	-	0
69	warped_forest	NETHER	뒤틀린 숲	ENDERMAN	-	0
70	basalt_deltas	NETHER	현무암 삼각주	MAGMA_CUBE	GHAST	0
71	crimson_forest	NETHER	호글린 서식지	HOGLIN,PIGLIN	-	0
72	nether_wastes	NETHER	보루 잔해 다리	PIGLIN,PIGLIN,PIGLIN_BRUTE	-	0
73	crimson_forest	NETHER	보루 호글린 우리	HOGLIN,PIGLIN	-	0
74	nether_wastes	NETHER	보루 주거 구역	PIGLIN,ZOMBIFIED_PIGLIN	-	0
75	nether_wastes	NETHER	보루 보물방	PIGLIN_BRUTE,MAGMA_CUBE	-	0
76	soul_sand_valley	NETHER	네더 요새 접근	SKELETON,GHAST	-	0
77	nether_wastes	NETHER	네더 요새 다리	WITHER_SKELETON,ZOMBIFIED_PIGLIN	-	0
78	nether_wastes	NETHER	블레이즈 구역	BLAZE	-	0
79	nether_wastes	NETHER	네더 요새 내부	WITHER_SKELETON,BLAZE,MAGMA_CUBE	-	0
80	nether_wastes	NETHER	네더 최종 관문	WITHER_SKELETON,BLAZE	WITHER	0
81	the_void	END	차원 전환의 공허	ENDERMITE,ENDERMAN	-	0
82	the_end	END	엔드 중앙 섬	ENDERMAN,ENDERMITE	-	0
83	small_end_islands	END	작은 엔드 섬	ENDERMITE,ENDERMITE,ENDERMAN	-	0
84	end_barrens	END	엔드 불모지	ENDERMAN	-	0
85	end_midlands	END	엔드 중지대	ENDERMAN,ENDERMITE	-	0
86	end_highlands	END	엔드 고지대	ENDERMAN	-	0
87	small_end_islands	END	외곽 섬 연결 구간	ENDERMITE,ENDERMAN	-	0
88	end_midlands	END	엔드 관문 귀환	ENDERMAN	-	0
89	the_end	END	흑요석 기둥	ENDERMAN	-	0
90	the_end	END	엔더 드래곤	ENDERMAN	ENDER_DRAGON	0
91	end_barrens	END_CITY	외곽 재진입	ENDERMAN,ENDERMITE	-	0
92	end_highlands	END_CITY	엔드 시티 접근로	ENDERMAN,SHULKER	-	0
93	end_highlands	END_CITY	엔드 시티 성문	SHULKER,ENDERMITE	-	0
94	end_highlands	END_CITY	엔드 시티 하층	SHULKER,ENDERMAN	-	0
95	end_highlands	END_CITY	엔드 시티 연결 다리	ENDERMITE,SHULKER	-	0
96	end_highlands	END_CITY	엔드 시티 상층	SHULKER	-	0
97	end_highlands	END_CITY	엔드 시티 첨탑	SHULKER,ENDERMAN	-	0
98	end_highlands	END_CITY	엔드 함선 접근	SHULKER,ENDERMITE	-	0
99	end_highlands	END_CITY	엔드 함선 갑판	SHULKER,ENDERMAN	-	0
100	end_highlands	END_CITY	엔드 함선 보물실 수호자	SHULKER,ENDERMAN	SHULKER	0
